index,tenor,date,fixing
EUR-EONIA-OIS-COMPOUND,1D,02/01/2007,0.036
EUR-EURIBOR-Reuters,1W,02/01/2007,0.03614
EUR-EURIBOR-Reuters,2W,02/01/2007,0.03615
EUR-EURIBOR-Reuters,1M,02/01/2007,0.03629
EUR-EURIBOR-Reuters,3M,02/01/2007,0.03725
EUR-EURIBOR-Reuters,6M,02/01/2007,0.03857
EUR-EURIBOR-Reuters,12M,02/01/2007,0.0403
EUR-EONIA-OIS-COMPOUND,1D,03/01/2007,0.036
EUR-EURIBOR-Reuters,1W,03/01/2007,0.03614
EUR-EURIBOR-Reuters,2W,03/01/2007,0.03615
EUR-EURIBOR-Reuters,1M,03/01/2007,0.03627
EUR-EURIBOR-Reuters,3M,03/01/2007,0.03726
EUR-EURIBOR-Reuters,6M,03/01/2007,0.0386
EUR-EURIBOR-Reuters,12M,03/01/2007,0.04029
EUR-EONIA-OIS-COMPOUND,1D,04/01/2007,0.036
EUR-EURIBOR-Reuters,1W,04/01/2007,0.03613
EUR-EURIBOR-Reuters,2W,04/01/2007,0.03613
EUR-EURIBOR-Reuters,1M,04/01/2007,0.03625
EUR-EURIBOR-Reuters,3M,04/01/2007,0.03734
EUR-EURIBOR-Reuters,6M,04/01/2007,0.03865
EUR-EURIBOR-Reuters,12M,04/01/2007,0.0403
EUR-EONIA-OIS-COMPOUND,1D,05/01/2007,0.0359
EUR-EURIBOR-Reuters,1W,05/01/2007,0.03608
EUR-EURIBOR-Reuters,2W,05/01/2007,0.0361
EUR-EURIBOR-Reuters,1M,05/01/2007,0.03625
EUR-EURIBOR-Reuters,3M,05/01/2007,0.03735
EUR-EURIBOR-Reuters,6M,05/01/2007,0.03864
EUR-EURIBOR-Reuters,12M,05/01/2007,0.04024
EUR-EONIA-OIS-COMPOUND,1D,08/01/2007,0.0358
EUR-EURIBOR-Reuters,1W,08/01/2007,0.03602
EUR-EURIBOR-Reuters,2W,08/01/2007,0.03605
EUR-EURIBOR-Reuters,1M,08/01/2007,0.0362
EUR-EURIBOR-Reuters,3M,08/01/2007,0.03738
EUR-EURIBOR-Reuters,6M,08/01/2007,0.03874
EUR-EURIBOR-Reuters,12M,08/01/2007,0.04047
EUR-EONIA-OIS-COMPOUND,1D,09/01/2007,0.0356
EUR-EURIBOR-Reuters,1W,09/01/2007,0.03592
EUR-EURIBOR-Reuters,2W,09/01/2007,0.03596
EUR-EURIBOR-Reuters,1M,09/01/2007,0.03616
