curve_id,instrument_type,instrument_id,floating_tenor,par_rate,forward_curve_id,discount_curve_id
7,swap_rate_sc,ON,,0.00067,7,7
7,swap_rate_sc,TN,,0.00067,7,7
7,swap_rate_sc,1W,,0.0007,7,7
7,swap_rate_sc,2W,,0.00069,7,7
7,swap_rate_sc,3W,,0.00078,7,7
7,swap_rate_sc,1M,,0.00074,7,7
7,swap_rate_sc,2M,,0.00061,7,7
7,swap_rate_sc,3M,,0.00047,7,7
7,swap_rate_sc,4M,,0.00033,7,7
7,swap_rate_sc,5M,,0.00024,7,7
7,swap_rate_sc,6M,,0.00018,7,7
7,swap_rate_sc,7M,,0.00013,7,7
7,swap_rate_sc,8M,,9.00E-05,7,7
7,swap_rate_sc,9M,,5.00E-05,7,7
7,swap_rate_sc,10M,,3.00E-05,7,7
7,swap_rate_sc,11M,,1.00E-05,7,7
7,swap_rate_sc,12M,,0,7,7
7,swap_rate_sc,15M,,2.00E-05,7,7
7,swap_rate_sc,18M,,8.00E-05,7,7
7,swap_rate_sc,21M,,0.00021,7,7
7,swap_rate_sc,2Y,,0.00036,7,7
7,swap_rate_sc,3Y,,0.00127,7,7
7,swap_rate_sc,4Y,,0.00274,7,7
7,swap_rate_sc,5Y,,0.00456,7,7
7,swap_rate_sc,6Y,,0.00647,7,7
7,swap_rate_sc,7Y,,0.00827,7,7
7,swap_rate_sc,8Y,,0.00996,7,7
7,swap_rate_sc,9Y,,0.01147,7,7
7,swap_rate_sc,10Y,,0.0128,7,7
7,swap_rate_sc,11Y,,0.01404,7,7
7,swap_rate_sc,12Y,,0.01516,7,7
7,swap_rate_sc,15Y,,0.01764,7,7
7,swap_rate_sc,20Y,,0.01939,7,7
7,swap_rate_sc,25Y,,0.02003,7,7
7,swap_rate_sc,30Y,,0.02038,7,7
8,deposit_rate,ON,,0.0004,8,8
8,deposit_rate,TN,,0.0004,8,8
8,deposit_rate,1W,,0.0007,8,8
8,deposit_rate,2W,,0.0008,8,8
8,deposit_rate,3W,,0.0011,8,8
8,deposit_rate,1M,,0.0011,8,8
8,deposit_rate,2M,,0.0014,8,8
8,deposit_rate,3M,,0.0018,8,8
8,fra,1x4F,3M,0.00165,8,7
8,fra,2x5F,3M,0.00166,8,7
